Long,Lat
-122.2374289,37.80098
-121.4492536,38.5521515
-104.620327,38.2334475
-104.9346876,39.7313394
-104.9346535,39.7308337
-80.3352982,27.44309
-80.1330929,26.203073
-80.2060483,26.1203448
-80.2105119,25.9848693
-80.3239763,25.9408547
-80.2753696,25.8674347
-80.1625362,25.9312621
-80.1617289,25.928855
-80.1815206,25.9286547
-89.2532241,37.7385665
-106.5272429,35.1317838
-89.1852014,37.7323412
-88.2841899,40.1172858
-89.0703103,42.2888539
-87.6055479,41.7901233
-87.6713869,41.8783437
-87.6208337,41.8939218
-97.2839981,37.6888
-70.308092,43.6377842
-77.1551429,39.0998364
-76.5468949,39.2905241
-76.6248449,39.2880132
-77.1837297,39.1194081
-76.9127622,38.9977488
-76.8971078,38.8102831
-76.9370727,38.978962
-83.3598368,42.538722
-82.9601146,42.4498532
-83.0106894,42.5512142
-115.2636393,36.1448084
-106.6248153,31.8481722
-74.8390162,39.8661826
-74.0413507,40.9080511
-74.2157791,40.8128235
-74.1920222,40.7404325
-74.1741891,40.7416983
-73.1779711,40.8078514
-73.7019956,40.7735767
-73.8857066,40.7452242
-73.8034817,40.7171931
-73.9434362,40.656711
-73.9651129,40.5854499
-73.942742,40.6994831
-73.982016,40.691766
-73.9762044,40.7396865
-73.9820909,40.7331881
-73.9388508,40.8148515
-73.945029,40.7852328
-73.9537414,40.7900118
-73.9247762,40.8160855
-73.8451691,40.8462711
-73.8472422,40.8564718
-73.8810488,40.8804138
-73.8050815,41.086836
-77.623247,43.118115
-76.0658935,43.0767007
-82.4214952,34.8088378
-110.7512573,43.480582
-122.3411395,47.6164682
-77.4434256,37.5448501
-118.6436847,34.1565744
-122.4197856,37.7693726
-118.2746148,34.0570802
-124.1393057,40.7914178
-118.430978,34.2018957
-121.2794973,39.2800297
-118.4503989,34.036569
-81.9564108,27.9838738
-90.1442826,38.6997877
-82.2178535,36.6014379
-83.5690844,41.6927682
-73.84359,40.8552311
-73.9591977,40.7604494
-106.6547825,35.0912507
-74.3892225,40.4189355
-71.4351728,42.9836301
-122.457608,37.786181
-122.422491,37.786774
-122.1773884,37.4355242
-118.291993,34.097206
-118.3805809,34.0739869
-118.2518462,34.1318063
-118.6756299,34.2740012
-122.4206093,37.746739
-122.4079499,37.7896805
-117.9566808,33.700416
-87.865141,41.944309
-72.6100348,42.1229554
-71.7920244,42.2730591
-83.7273849,42.2819782
-72.2528566,43.6429054
-74.4609332,40.8003449
-74.6574444,40.3711499
-74.0867878,40.6323377
-74.4101716,40.6104182
-74.2243981,40.1476571
-74.2638654,40.7017267
-74.0495409,40.7231874
-73.7771411,42.6536483
-78.7997156,43.0283595
-77.605817,43.1355317
-77.5946677,43.1194236
-76.1396319,43.0419614
-73.887075,40.7474335
-73.9821081,40.6898521
-73.9935768,40.6927137
-78.9381561,36.0054244
-79.0523659,35.9058399
-71.406859,41.8103989
-105.9612682,35.6588013
-106.5865565,35.0838388
-105.0964326,40.575401
-105.2625964,40.0152186
-105.0839229,39.8370947
-104.9048531,39.7697846
-105.0807039,39.6912166
-104.8277602,39.6931021
-104.9890037,39.5675312
-73.6127893,40.7099518
-73.9936401,40.725465
-76.619984,39.2937854
-77.0002943,38.9063052
-118.1328048,34.1640373
-117.8651607,34.1282261
-122.2984592,37.8993726
-122.5536687,45.6216746
-122.3178403,48.4213617
-122.174099,48.087877
-122.1441883,47.6177186
-122.6371976,47.606429
-122.3449664,47.5139436
-122.3199712,47.288995
-122.9665154,46.7185133
-122.6618707,45.5497717
